n1,n2,fij
1,2,-3.2542e-01
1,3,-2.3354e+00
1,4,-7.8846e-01
1,5,6.4539e-02
1,6,-1.3863e+00
1,7,-1.3218e+00
1,8,-4.0547e-01
1,9,-2.5390e+00
1,10,-1.0609e+00
1,11,-1.0609e+00
1,12,-4.0547e-01
1,13,-1.2164e+00
1,14,-1.9459e+00
1,15,-8.1093e-01
1,16,-4.8551e-01
1,17,-1.0986e+00
1,18,-1.8192e+00
2,3,1.0986e+00
2,4,-3.1015e-01
2,5,1.3863e+00
2,6,4.7000e-01
2,7,5.8779e-01
2,8,-2.4849e+00
2,9,5.1083e-01
2,10,2.4116e-01
2,11,2.6826e-01
2,12,1.5581e+00
2,13,-2.6236e-01
2,14,2.8768e-01
2,15,5.8779e-01
2,16,2.6236e-01
2,17,1.6740e+00
2,18,-5.3900e-01
3,4,-3.1845e-01
3,5,8.7011e-02
3,6,-9.5310e-02
3,7,-1.4663e+00
3,8,-9.1629e-01
3,9,0.0000e+00
3,10,-2.8768e-01
3,11,-7.9851e-01
3,12,-5.7158e-02
3,13,3.4831e-01
3,14,-6.2861e-01
3,15,-7.8846e-01
3,16,-1.6705e-01
3,17,-8.7011e-02
3,18,-3.2542e-01
4,5,1.5415e-01
4,6,3.1845e-01
4,7,3.6772e-01
4,8,1.4310e-01
4,9,-6.2861e-01
4,10,-6.4663e-01
4,11,-8.1093e-01
4,12,4.3532e-01
4,13,0.0000e+00
4,14,-1.7918e+00
4,15,6.8993e-02
4,16,-6.2861e-01
4,17,7.5377e-01
4,18,-4.3532e-01
5,6,-6.2861e-01
5,7,-1.3437e+00
5,8,-4.5199e-01
5,9,-6.1904e-01
5,10,-9.8083e-01
5,11,1.4310e-01
5,12,-5.4654e-01
5,13,-2.2314e-01
5,14,-1.1787e+00
5,15,-9.6508e-01
5,16,-7.6214e-01
5,17,-2.8768e-01
5,18,-9.1629e-01
6,7,8.7011e-02
6,8,-6.2861e-01
6,9,-5.3063e-01
6,10,-1.5261e+00
6,11,8.7011e-02
6,12,2.2314e-01
6,13,9.5310e-02
6,14,-5.7536e-01
6,15,-5.3900e-01
6,16,-5.7536e-01
6,17,-7.6214e-01
6,18,0.0000e+00
7,8,2.6826e-01
7,9,-2.8768e-01
7,10,3.7469e-01
7,11,-1.2516e-01
7,12,4.5199e-01
7,13,4.5953e-01
7,14,-1.8232e-01
7,15,-1.1123e-01
7,16,-4.0547e-01
7,17,1.2238e+00
7,18,5.9784e-01
8,9,2.8768e-01
8,10,6.1904e-01
8,11,2.6826e-01
8,12,-2.3639e-01
8,13,3.5667e-01
8,14,-1.2809e+00
8,15,-6.9315e-01
8,16,-5.1083e-01
8,17,7.5377e-01
8,18,2.2314e-01
9,10,3.6772e-01
9,11,8.6500e-01
9,12,1.7636e+00
9,13,1.3863e+00
9,14,1.0217e+00
9,15,1.0536e-01
9,16,-2.2314e-01
9,17,3.1845e-01
9,18,6.4539e-02
10,11,5.1083e-01
10,12,2.4116e-01
10,13,7.4108e-02
10,14,3.5667e-01
10,15,3.5667e-01
10,16,2.0067e-01
10,17,4.0547e-01
10,18,9.5310e-02
11,12,-4.4183e-01
11,13,-8.8730e-01
11,14,-1.0986e+00
11,15,-4.3078e-01
11,16,9.4446e-01
11,17,-1.3353e-01
11,18,-2.4116e-01
12,13,-7.4108e-02
12,14,-1.7047e+00
12,15,-1.1778e-01
12,16,-1.0986e+00
12,17,-1.0217e+00
12,18,-4.3078e-01
13,14,-1.1778e-01
13,15,-3.5667e-01
13,16,-8.6020e-01
13,17,6.0625e-02
13,18,-1.3350e+00
14,15,-2.4116e-01
14,16,-1.3350e+00
14,17,5.5962e-01
14,18,-8.1093e-01
15,16,2.0067e-01
15,17,7.8846e-01
15,18,3.7949e-01
16,17,-1.5415e-01
16,18,-3.3647e-01
17,18,4.9248e-01
